drug	pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	mean					Curcumin
Curcumin	KEGG_hsa00260	0.336721718	0.134985879	0.136973694	0.058738776	0.251664817	0.075453691	0.213184476	0.14889805	0.366978109	0.118217319	0.135232985	0.217136264	0.155026048	0.089393914	0.290134817	0.181916037					
Curcumin	KEGG_hsa04145	0.51765132	0.411707729	0.357073337	0.273828834	0.339856595	0.250532389	0.380772054	0.381787807	0.517791152	0.330012709	0.358620375	0.389711469	0.295083433	0.450096518	0.298344761	0.370191365					
Curcumin	KEGG_hsa00760	0.163442776	0.138724595	0.101855226	0.045690682	0.125907108	0.074842118	0.251155645	0.098627612	0.1476174	0.106767714	0.086789288	0.193633556	0.04272446	0.144925356	0.268641233	0.132756318					
Curcumin	KEGG_hsa05140	0.685336828	0.777444541	0.760633111	0.645740509	0.715414464	0.751887739	0.760036349	0.727636993	0.81217283	0.643850565	0.690478504	0.7450369	0.801471591	0.661367893	0.784589112	0.730873195					
Curcumin	KEGG_hsa04932	0.818954289	0.822024167	0.750294268	0.57512939	0.746364832	0.801779389	0.813096464	0.818950891	0.869239211	0.672573686	0.769707978	0.802973807	0.8536008	0.79947865	0.804701567	0.781257959					
Curcumin	KEGG_hsa00830	0.519004166	0.634781182	0.603409052	0.35441494	0.491130173	0.515445888	0.588718772	0.548519611	0.613142073	0.348032117	0.537692964	0.566892982	0.49553299	0.410457194	0.498146892	0.5150214					
Curcumin	KEGG_hsa04920	0.658308506	0.738459289	0.636656523	0.465346545	0.603386879	0.621622622	0.703280807	0.662597001	0.71848774	0.609360754	0.645850182	0.663793266	0.69149673	0.584611595	0.710397005	0.647577029					
Curcumin	KEGG_hsa00970	0.242620453	0.089451768	0.151318163	0.133157268	0.14851597	0.045401346	0.178994909	0.106787145	0.204084814	0.076681688	0.12258333	0.215363979	0.109548345	0.283890128	0.326068699	0.162297867					
Curcumin	KEGG_hsa05222	0.676135719	0.752537251	0.705247223	0.48966822	0.66217804	0.693625271	0.755542338	0.751664162	0.766239226	0.590034246	0.724133193	0.684752285	0.695644855	0.702295721	0.749586403	0.69328561					
Curcumin	KEGG_hsa04540	0.578080475	0.587948918	0.583013177	0.358258218	0.425507843	0.415860116	0.542679191	0.601185203	0.603417218	0.45416832	0.583370686	0.519085586	0.566503346	0.663424075	0.524520278	0.53380151					
Curcumin	KEGG_hsa04623	0.409365207	0.523718417	0.608332574	0.282312244	0.474116981	0.511342883	0.57567066	0.552453518	0.567091167	0.457305104	0.529123068	0.547640085	0.56342417	0.476446182	0.57512033	0.510230839					
Curcumin	KEGG_hsa04261	0.427506953	0.610099018	0.556427181	0.337671995	0.596005142	0.486234218	0.555853963	0.542210698	0.675510764	0.38412708	0.484815389	0.549855947	0.632615566	0.539958775	0.481635749	0.524035229					
Curcumin	KEGG_hsa04630	0.653448105	0.729094446	0.644537151	0.456698239	0.654776454	0.535467923	0.771311879	0.677797735	0.754618108	0.470368594	0.660794318	0.670907855	0.612872541	0.615450144	0.729106605	0.64248334					
Curcumin	KEGG_hsa04014	0.781784415	0.743325472	0.705832839	0.460738093	0.759068847	0.644026756	0.654438078	0.701502681	0.803366363	0.572962224	0.744541824	0.710995078	0.772461712	0.740627408	0.759250641	0.703661495					
Curcumin	KEGG_hsa00600	0.199318737	0.176561967	0.121127866	0.106507584	0.228880927	0.121286675	0.192710236	0.095500827	0.138034254	0.166895002	0.052617002	0.105087534	0.09136536	0.260737747	0.210419744	0.151136764					
Curcumin	KEGG_hsa04151	0.892670333	0.873904347	0.792718232	0.680093706	0.821018279	0.851154506	0.847834766	0.880959094	0.856592894	0.725565553	0.795927048	0.793226659	0.813041508	0.820910037	0.847920895	0.81956919					
Curcumin	KEGG_hsa04066	0.790810466	0.815901995	0.702262938	0.600739598	0.726983786	0.754780293	0.742839456	0.753419936	0.855266333	0.674719036	0.711350441	0.759281278	0.749457359	0.646031976	0.725253701	0.733939906					
Curcumin	KEGG_hsa00520	0.143425107	0.132196844	0.181488439	0.039405894	0.239867002	0.121828124	0.191460297	0.075940587	0.217076927	0.139069647	0.172800571	0.155694067	0.108854964	0.261371106	0.174631298	0.157007392					
