MOL1	MOL2	CLASS
OC(=O)CCCCC(O)=O	Cc1nc(N)nc(N)n1	1
CC1=CC(=NN1)C	OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl	0
CC(CCC(N)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	CC(C)CCCO	1
OC(=O)C(F)(F)F	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
OC(=O)CCCCC(O)=O	O=C(Nc1cccnc1)C1C(C(C1c1cccnc1)C(=O)Nc1cccnc1)c1cccnc1	1
c1ccc2c(c1)c1ccccc21	Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F	1
Cc1ccc(cc1)C(C1=C(O)CC(C)(C)CC1=O)C1=C(O)CC(C)(C)CC1=O	CCNCC	1
COc1ccc(CCNC(=O)COc2cccc3cccnc23)cc1	OC(C(O)=O)c1ccccc1	1
N#CC(C#N)=C1c2ccccc2c2ccccc12	S1C=CSC1=C1SC=CS1	1
N#CCCCCC#N	FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	1
OC(=O)c1cc(O)cc(O)c1	NC(=O)c1ccc(N)cc1	1
OC(=O)C1=Cc2ccccc2N1	CC1=NN2C=C(C)N=C2S1	1
CC1=NC=C(CO)C(=C1O)CO	NC(=O)C1=CC=C(F)C=C1	0
OC(=O)c1ccccc1O	Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12	1
c1ccc(cc1)N=S=Nc1ccccc1	Fc1c(F)c(F)c2c3N=S=Nc3c(F)c(F)c2c1F	1
Fc1c(F)c(I)c(F)c(F)c1I	N#CC12CC3CC(CC(C3)C1)C2	1
c1ccc2nc3ccccc3nc2c1	OC(C(O)c1ccccc1)c1ccccc1	1
CC(=O)Oc1ccc(cc1)C=Cc1ccncc1	Oc1cc(O)c(I)cc1I	1
Nc1ccc(I)cc1	Oc1cc(Cl)c(Cl)c(Cl)c1	1
