drug	pathway
Ginsenoside Ro	KEGG_hsa03022	1
Ginsenoside Ro	KEGG_hsa00020	1
Ginsenoside Ro	KEGG_hsa00590	1
Ginsenoside Ro	KEGG_hsa00970	1
Ginsenoside Ro	KEGG_hsa04976	1
Ginsenoside Ro	KEGG_hsa04930	1
Ginsenoside Ro	KEGG_hsa01040	1
Ginsenoside Ro	KEGG_hsa04020	1
Ginsenoside Ro	KEGG_hsa00830	1
Ginsenoside Ro	KEGG_hsa04658	1
Ginsenoside Ro	KEGG_hsa04060	1
Ginsenoside Ro	KEGG_hsa04512	1
Ginsenoside Ro	KEGG_hsa04650	1
Ginsenoside Ro	KEGG_hsa03060	1
Ginsenoside Ro	KEGG_hsa04610	1
Ginsenoside Ro	KEGG_hsa04750	1
Ginsenoside Ro	KEGG_hsa04320	1
Ginsenoside Ro	KEGG_hsa04012	1
Ginsenoside Ro	KEGG_hsa04514	1
Ginsenoside Ro	KEGG_hsa00260	1
Ginsenoside Ro	KEGG_hsa04141	1
Ginsenoside Ro	KEGG_hsa00380	1
Ginsenoside Ro	KEGG_hsa04970	1
Ginsenoside Ro	KEGG_hsa04921	1
Ginsenoside Ro	KEGG_hsa05012	1
Ginsenoside Ro	KEGG_hsa04330	1
Ginsenoside Ro	KEGG_hsa04136	1
Ginsenoside Ro	KEGG_hsa00730	1
Ginsenoside Ro	KEGG_hsa04142	1
Ginsenoside Ro	KEGG_hsa04664	1
Ginsenoside Ro	KEGG_hsa02010	1
Ginsenoside Ro	KEGG_hsa00430	1
Ginsenoside Ro	KEGG_hsa00450	1
Ginsenoside Ro	KEGG_hsa04370	1
Ginsenoside Ro	KEGG_hsa04713	1
Ginsenoside Ro	KEGG_hsa05213	1
Ginsenoside Ro	KEGG_hsa00561	1
Ginsenoside Ro	KEGG_hsa05210	1
Ginsenoside Ro	KEGG_hsa04215	1
Ginsenoside Ro	KEGG_hsa03440	1
Ginsenoside Ro	KEGG_hsa05140	1
Ginsenoside Ro	KEGG_hsa05032	1
Ginsenoside Ro	KEGG_hsa04213	1
Ginsenoside Ro	KEGG_hsa05205	1
Ginsenoside Ro	KEGG_hsa04918	1
Ginsenoside Ro	KEGG_hsa04922	1
Ginsenoside Ro	KEGG_hsa05034	1
Ginsenoside Ro	KEGG_hsa04910	1
Ginsenoside Ro	KEGG_hsa04151	1
Ginsenoside Ro	KEGG_hsa05168	1
Ginsenoside Ro	KEGG_hsa04611	1
Ginsenoside Ro	KEGG_hsa05169	1
Ginsenoside Ro	KEGG_hsa04978	1
Ginsenoside Ro	KEGG_hsa00130	1
Ginsenoside Ro	KEGG_hsa00510	1
Ginsenoside Ro	KEGG_hsa04064	1
Ginsenoside Ro	KEGG_hsa04640	1
Ginsenoside Ro	KEGG_hsa05200	1
Ginsenoside Ro	KEGG_hsa05310	1
Ginsenoside Ro	KEGG_hsa03008	1
Ginsenoside Ro	KEGG_hsa04380	1
Ginsenoside Ro	KEGG_hsa04911	1
Ginsenoside Ro	KEGG_hsa05031	1
Ginsenoside Ro	KEGG_hsa04915	1
Ginsenoside Ro	KEGG_hsa05414	1
Ginsenoside Ro	KEGG_hsa00564	1
Ginsenoside Ro	KEGG_hsa04975	1
Ginsenoside Ro	KEGG_hsa04971	1
Ginsenoside Ro	KEGG_hsa05130	1
Ginsenoside Ro	KEGG_hsa05202	1
Ginsenoside Ro	KEGG_hsa04211	1
Ginsenoside Ro	KEGG_hsa04261	1
Ginsenoside Ro	KEGG_hsa00360	1
Ginsenoside Ro	KEGG_hsa04742	1
Ginsenoside Ro	KEGG_hsa05221	1
Ginsenoside Ro	KEGG_hsa05322	1
Ginsenoside Ro	KEGG_hsa00983	1
Ginsenoside Ro	KEGG_hsa04725	1
Ginsenoside Ro	KEGG_hsa04964	1
Ginsenoside Ro	KEGG_hsa05014	1
Ginsenoside Ro	KEGG_hsa05132	1
Ginsenoside Ro	KEGG_hsa05143	1
Ginsenoside Ro	KEGG_hsa00980	1
Ginsenoside Ro	KEGG_hsa04022	1
Ginsenoside Ro	KEGG_hsa04623	1
Ginsenoside Ro	KEGG_hsa04520	1
Ginsenoside Ro	KEGG_hsa01100	1
Ginsenoside Ro	KEGG_hsa05214	1
Ginsenoside Ro	KEGG_hsa00053	1
Ginsenoside Ro	KEGG_hsa01210	1
Ginsenoside Ro	KEGG_hsa00030	1
Ginsenoside Ro	KEGG_hsa00051	1
Ginsenoside Ro	KEGG_hsa05220	1
Ginsenoside Ro	KEGG_hsa05218	1
Ginsenoside Ro	KEGG_hsa00511	1
Ginsenoside Ro	KEGG_hsa00640	1
Ginsenoside Ro	KEGG_hsa05223	1
Ginsenoside Ro	KEGG_hsa04114	1
Ginsenoside Ro	KEGG_hsa04070	1
Ginsenoside Ro	KEGG_hsa04932	1
Ginsenoside Ro	KEGG_hsa01200	1
Ginsenoside Ro	KEGG_hsa04710	1
Ginsenoside Ro	KEGG_hsa05142	1
Ginsenoside Ro	KEGG_hsa05152	1
Ginsenoside Ro	KEGG_hsa04622	1
Ginsenoside Ro	KEGG_hsa04014	1
Ginsenoside Ro	KEGG_hsa05416	1
Ginsenoside Ro	KEGG_hsa04146	1
Ginsenoside Ro	KEGG_hsa05144	1
Ginsenoside Ro	KEGG_hsa05145	1
Ginsenoside Ro	KEGG_hsa00920	1
Ginsenoside Ro	KEGG_hsa05030	1
Ginsenoside Ro	KEGG_hsa04150	1
Ginsenoside Ro	KEGG_hsa05120	1
Ginsenoside Ro	KEGG_hsa05204	1
Ginsenoside Ro	KEGG_hsa05166	1
Ginsenoside Ro	KEGG_hsa04621	1
Ginsenoside Ro	KEGG_hsa04612	1
Ginsenoside Ro	KEGG_hsa04390	1
Ginsenoside Ro	KEGG_hsa00982	1
Ginsenoside Ro	KEGG_hsa04145	1
Ginsenoside Ro	KEGG_hsa04024	1
Ginsenoside Ro	KEGG_hsa04723	1
Ginsenoside Ro	KEGG_hsa00860	1
Ginsenoside Ro	KEGG_hsa03020	1
Ginsenoside Ro	KEGG_hsa04724	1
Ginsenoside Ro	KEGG_hsa05150	1
Ginsenoside Ro	KEGG_hsa01230	1
Ginsenoside Ro	KEGG_hsa04340	1
Ginsenoside Ro	KEGG_hsa00600	1
Ginsenoside Ro	KEGG_hsa00040	1
Ginsenoside Ro	KEGG_hsa05110	1
